age,co2
38621.80,204.79
38670.80,204.46
38723.40,206.54
38812.60,206.09
38874.70,205.65
38955.60,205.99
38976.80,202.34
39053.60,204.28
39120.50,207.32
39265.70,208.69
39303.20,209.50
39319.90,209.33
39339.80,207.87
39379.40,204.78
39402.90,191.53
39454.40,198.14
39515.40,200.40
39621.00,195.70
39709.20,196.67
39757.10,193.58
39885.00,193.87
39900.50,197.55
40042.70,192.60
40112.10,193.08
40145.30,193.69
40308.40,197.90
40485.95,201.32
40553.44,201.48
40754.30,200.47
40907.39,200.97
41167.90,201.53
41303.59,204.19
41605.97,205.49
41759.21,201.12
41900.69,199.89
42315.82,200.90
42628.30,204.83
42849.87,206.35
42968.08,204.26
43171.89,203.16
43350.66,201.66
43515.82,204.22
43661.16,203.18
43809.01,201.69
44095.20,204.31
44204.45,202.00
44350.47,206.22
44490.50,204.83
44655.54,212.29
44816.01,210.44
44996.16,211.49
45142.02,207.95
45280.39,213.92
45460.32,214.50
45696.06,217.51
45877.11,222.72
46057.33,221.77
46181.26,219.25
46308.55,218.35
46635.90,216.42
46746.44,214.18
46887.94,210.84
47086.28,210.27
47314.98,207.60
47524.36,204.26
47710.39,203.79
47943.75,205.66
48223.18,206.18
48427.86,200.98
48987.95,201.58
49302.98,200.12
49462.66,204.06
49728.32,203.87
50006.51,204.38
50220.55,206.74
50527.41,207.41
51029.17,207.64
51431.45,211.57
51779.53,215.08
52086.82,213.82
52384.78,219.08
52573.68,220.72
52800.74,221.15
53108.25,223.72
53400.45,223.26
53806.25,221.14
54156.60,220.37
54387.13,217.96
54694.61,213.89
55014.49,216.86
55293.46,208.19
55553.13,214.78
55909.54,210.27
56237.13,207.67
56503.58,212.44
57210.94,215.70
57476.27,217.38
57843.72,223.72
58217.01,224.35
58433.32,223.15
59105.07,231.29
59380.41,226.35
59733.47,223.45
60109.88,216.66
60373.06,212.87
60516.63,217.25
60817.62,213.78
61060.88,207.95
61234.84,210.57
61554.11,210.90
61900.72,206.38
62552.01,202.56
62774.57,202.71
62960.90,200.15
63555.79,197.40
63896.88,197.24
64113.78,199.73
64657.29,203.70
64867.42,201.67
65046.72,199.17
65546.45,208.98
65764.51,198.17
65937.23,200.59
66439.31,204.39
66959.71,207.21
67314.59,201.14
67729.68,203.76
68146.19,200.17
68619.99,203.43
69081.53,205.42
69592.02,211.26
70052.16,215.55
70427.26,220.33
70928.87,225.17
71279.17,235.02
71693.65,237.56
72092.81,239.46
72490.15,232.79
72866.04,232.33
73219.32,230.89
73750.96,232.74
74221.48,231.33
74525.65,241.24
75067.95,243.27
75545.13,249.52
75850.65,249.94
76247.47,239.34
76696.74,238.01
77056.48,231.68
77615.92,224.92
78080.75,226.65
78507.95,224.14
78969.54,227.30
79410.36,229.26
79877.76,234.74
80330.36,230.60
80721.79,233.92
81206.94,230.33
81711.43,234.13
82068.79,238.89
82526.72,240.87
82988.26,246.32
83554.11,247.10
83940.90,250.79
84357.44,243.16
84936.77,238.42
85367.47,234.69
85890.69,228.76
86498.32,223.38
87027.64,221.06
87581.18,223.63
88136.18,217.80
88701.05,223.99
89244.72,227.38
89696.26,228.88
90317.29,229.74
90834.02,231.56
91445.03,231.12
91949.74,233.74
92667.82,232.46
93424.71,235.16
93823.21,238.21
94568.55,242.41
95234.11,242.91
95921.48,246.20
96474.88,245.76
97270.89,242.35
97927.46,239.86
98583.72,243.18
99361.42,242.99
100076.85,245.63
100543.18,247.87
101325.68,244.76
101971.89,240.07
102764.78,237.07
103308.74,240.68
104274.33,247.76
104331.23,238.88
104966.45,242.36
105507.15,248.78
105989.87,257.58
106256.38,241.40
106368.25,244.83
106974.82,240.34
108401.91,236.43
109129.42,244.44
109839.97,244.13
110555.36,246.69
