age,del_18O,del_D,d-excess,Tsite,Tsource,Tsource-Tsite
85900,-56.30,-436.48,13.89,-2.07,-1.31,0.76
86100,-56.43,-437.57,13.88,-2.28,-1.48,0.80
86300,-56.65,-439.11,14.05,-2.52,-1.56,0.95
86500,-56.90,-440.96,14.22,-2.81,-1.70,1.11
86700,-57.18,-443.14,14.30,-3.20,-1.96,1.25
86900,-57.18,-442.90,14.57,-3.05,-1.66,1.39
87100,-57.33,-444.13,14.48,-3.32,-1.93,1.39
87300,-57.46,-445.26,14.43,-3.56,-2.16,1.40
87500,-57.48,-445.20,14.68,-3.45,-1.92,1.53
87700,-57.33,-444.17,14.48,-3.33,-1.95,1.38
87900,-57.39,-445.02,14.11,-3.64,-2.43,1.21
88100,-57.39,-445.06,14.09,-3.66,-2.46,1.20
88300,-57.43,-445.19,14.22,-3.63,-2.36,1.27
88500,-57.47,-445.88,13.91,-3.89,-2.77,1.12
88700,-57.60,-446.79,14.01,-4.03,-2.83,1.20
88900,-57.66,-447.31,13.96,-4.15,-2.96,1.19
89100,-57.73,-447.64,14.16,-4.14,-2.83,1.31
89300,-57.84,-448.51,14.20,-4.29,-2.93,1.36
89500,-58.15,-450.86,14.31,-4.71,-3.20,1.50
89700,-58.34,-451.91,14.78,-4.73,-2.94,1.79
89900,-58.53,-452.98,15.24,-4.76,-2.68,2.08
90100,-58.71,-454.77,14.91,-5.24,-3.28,1.96
90300,-58.67,-454.61,14.73,-5.28,-3.43,1.85
90500,-58.41,-452.54,14.74,-4.87,-3.10,1.78
90700,-58.34,-452.22,14.48,-4.91,-3.30,1.61
90900,-58.33,-452.42,14.22,-5.05,-3.58,1.48
91100,-58.27,-451.75,14.39,-4.86,-3.32,1.54
91300,-58.33,-452.04,14.57,-4.85,-3.20,1.64
91500,-58.50,-453.22,14.82,-4.98,-3.16,1.82
91700,-58.60,-453.68,15.09,-4.97,-2.99,1.98
91900,-58.36,-451.72,15.15,-4.56,-2.63,1.93
92100,-58.12,-449.77,15.17,-4.17,-2.31,1.86
92300,-58.10,-449.68,15.14,-4.17,-2.34,1.83
92500,-58.02,-449.21,14.98,-4.14,-2.43,1.72
92700,-57.99,-449.00,14.93,-4.12,-2.45,1.67
92900,-58.18,-450.29,15.13,-4.30,-2.48,1.82
93100,-58.17,-450.14,15.19,-4.25,-2.41,1.84
93300,-57.99,-448.79,15.11,-4.02,-2.27,1.74
93500,-57.82,-447.53,15.06,-3.79,-2.14,1.66
93700,-57.66,-446.25,15.01,-3.56,-1.99,1.57
93900,-57.36,-443.91,14.97,-3.12,-1.66,1.46
94100,-57.51,-444.84,15.22,-3.21,-1.58,1.63
94300,-57.66,-445.93,15.38,-3.36,-1.60,1.76
94500,-57.72,-446.31,15.42,-3.42,-1.63,1.79
94700,-57.76,-446.78,15.31,-3.55,-1.80,1.75
94900,-57.99,-448.92,14.98,-4.10,-2.46,1.64
95100,-57.99,-449.43,14.46,-4.40,-3.03,1.38
95300,-57.97,-449.44,14.30,-4.47,-3.18,1.29
95500,-57.97,-449.36,14.38,-4.42,-3.10,1.32
95700,-57.98,-449.18,14.64,-4.28,-2.82,1.46
95900,-57.85,-447.92,14.88,-3.94,-2.40,1.55
96100,-57.74,-446.71,15.22,-3.58,-1.89,1.69
96300,-57.68,-446.19,15.24,-3.47,-1.78,1.68
96500,-57.72,-446.29,15.47,-3.39,-1.58,1.81
96700,-57.57,-445.34,15.19,-3.32,-1.69,1.62
96900,-57.53,-444.84,15.43,-3.13,-1.39,1.73
97100,-57.52,-444.86,15.28,-3.19,-1.54,1.65
97300,-57.28,-442.80,15.47,-2.71,-1.03,1.69
97500,-57.21,-442.41,15.24,-2.73,-1.18,1.54
97700,-57.16,-441.86,15.39,-2.56,-0.95,1.61
97900,-57.22,-442.55,15.18,-2.78,-1.25,1.52
98100,-57.27,-442.76,15.39,-2.74,-1.09,1.65
98300,-57.35,-443.37,15.40,-2.85,-1.16,1.68
98500,-57.24,-442.56,15.39,-2.70,-1.05,1.65
98700,-57.38,-443.79,15.29,-2.97,-1.33,1.64
