bag,ptop,age,dd,d18o,deutex
190,103.95,2577.64,-400.4,-50.94,7.1
191,104.5,2595.25,-393.5,-50.26,8.6
192,105.05,2612.79,-390.6,-49.78,7.6
193,105.6,2630.34,-395.2,-50.29,7.1
194,106.15,2647.89,-396.9,-50.47,6.9
195,106.7,2665.39,-399.1,-51.01,9.0
196,107.25,2682.81,-396.9,-50.50,7.1
197,107.8,2700.1,-401,-51.27,9.2
198,108.35,2717.31,-387.9,-49.59,8.8
199,108.9,2734.42,-390.3,-49.89,8.8
200,109.45,2751.49,-390.8,-49.91,8.5
201,110,2768.53,-390.2,-49.90,9.0
202,110.55,2785.61,-395.6,-50.48,8.2
203,111.1,2802.81,-387.7,-49.63,9.3
204,111.65,2820.15,-388.9,-49.79,9.4
205,112.2,2837.69,-388.9,-49.59,7.8
206,112.75,2855.29,-395.4,-50.50,8.6
207,113.3,2872.92,-399.5,-51.17,9.9
208,113.85,2890.5,-401.7,-51.60,11.1
209,114.4,2908.1,-392.2,-50.09,8.5
210,114.95,2925.99,-393.9,-50.42,9.5
211,115.5,2943.98,-397.7,-50.77,8.5
212,116.05,2962.05,-401.1,-51.24,8.8
213,116.6,2980.13,-395.7,-50.58,8.9
214,117.15,2998.19,-398.7,-51.07,9.9
215,117.7,3016.33,-395,-50.71,10.7
216,118.25,3034.58,-394.7,-50.57,9.9
217,118.8,3052.76,-395.8,-50.64,9.3
218,119.35,3070.92,-391.8,-50.18,9.6
219,119.9,3089.37
220,120.45,3107.93,-387.9,-49.46,7.8
221,121,3126.72,-404.4,-51.71,9.3
222,121.55,3145.59,-401.1,-51.17,8.3
223,122.1,3164.59,-403.4,-51.64,9.7
224,122.65,3183.64,-391.8,-50.18,9.6
225,123.2,3202.78,-400.5,-51.20,9.1
226,123.75,3221.95,-406.2,-51.98,9.6
227,124.3,3241.15,-392.7,-50.28,9.5
228,124.85,3260.36,-400,-51.09,8.7
229,125.4,3279.56,-401.9,-51.41,9.4
230,125.95,3298.74,-391.3,-50.03,8.9
231,126.5,3317.89,-399.8,-50.99,8.1
232,127.05,3336.98,-404.2,-51.75,9.8
233,127.6,3356.02,-395.6,-50.66,9.7
234,128.15,3374.98,-397.2,-50.85,9.6
235,128.7,3393.86,-398.2,-50.88,8.8
236,129.25,3412.65,-396.6,-50.72,9.2
237,129.8,3431.35,-395.6,-50.53,8.6
238,130.35,3449.98,-392.7,-50.31,9.8
239,130.9,3468.51,-401.8,-51.50,10.2
240,131.45,3486.99,-387.3,-49.70,10.3
241,132,3505.38,-394.6,-50.46,9.1
242,132.55,3523.74,-397.2,-50.91,10.1
243,133.1,3542.02,-394.5,-50.56,10.0
244,133.65,3560.27,-399.5,-51.01,8.6
245,134.2,3578.48,-389.9,-49.88,9.1
246,134.75,3596.67,-390.8,-49.96,8.9
247,135.3,3614.85,-394.4,-50.42,9.0
248,135.85,3633.06,-391.7,-50.02,8.5
249,136.4,3651.28,-389.2,-49.99,10.7
